"标题","类型","分类","标签","内容","变量","ID"
"花朵相连艺术体绿缀白立体","字体","艺术字","风格","白色立体艺术字 {text_cn} 线条流畅，边缘带有绿色渐变高光效果，粗线体风格，可爱生动、笔画大圆弧弧形转折，白色背景，飘动的花朵和绿叶。字體筆畫首尾相連。","{text_cn}","8a0028"
"花前月下美术体粉韵浪漫","字体","艺术字","中英文","创意字体设计 Logo：中文{text_cn}，英文{text_en}，中英文穿插，美术字体设计，笔画形态夸张多变，极富创意的秀丽笔风格，结构中加入爱心、两只蝴蝶和弧线结构，细节曲线增强装饰，体现时尚与柔美气质，起承转合，运笔流畅，线条婉转自由，浪漫主题，前卫时尚，活泼可爱，矢量，纯黑底粉字。","{text_cn}|{text_en}","8a0029"
"极简标志体果茶雕刻","字体","艺术字","中英文","创意字体设计 Logo：奶茶与水果的融合，写着中文 """"{text_cn}"""" ,英文 {text_en}，极简，图型设计，雕刻效果，白色背景，国际化，高级感，设计感。","{text_cn}|{text_en}","8a0030"
"即刻出发双语体彩变涂鸦","字体","艺术字","中英文","涂鸦字体设计风格，黑色背景，彩色渐变字，创意字体设计 Logo，流畅且富有艺术感，中文第一行 {text_cn}，英文第二行 {text_en}，笔画之间合理相连，彩色点缀。设计灵感：将字体进行抽象变形，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}|{text_en}","8a0031"
"技术创新书法体奔放墨韵","字体","艺术字","书法","矢量插画，标志，黑色背景，创意字体设计 Logo，手写毛笔书法，线条流畅奔放且富有艺术感，中文 {text_cn} 计灵感：将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}","8a0032"
"技炫青春创意体科技蓝调","字体","艺术字","艺术字","矢量插画，标志，深蓝色背景，创意字体设计 Logo，线条流畅且富有艺术感，加入一些科技元素，中文 {text_cn} ，将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}","8a0033"
"加油努力花体童趣多色","字体","艺术字","艺术字","花体字体设计 {text_cn}，采用活泼、圆润的卡通手写字体风格，笔画带有流畅的曲线和俏皮的装饰，加入动漫笔画中的高光线，起笔和收笔有明显的变形，颜色鲜艳，黑底，多色变化，富有童趣。","{text_cn}","8a0034"
"坚持不懈立体烫金体红底鎏金","字体","艺术字","风格","烫金字，以正面视角呈现的立体特效文字 {text_cn}，具有极为强烈立体特效的 3D 字设计。烫金字，表面带有金色的光泽，反射光柔和，呈现出奢华与高贵的特质。厚度感明显，边缘清晰，光影效果自然。红色背景，背景极简，空间感强，采用 16K 分辨率，最佳品质，突出烫金的奢华与高贵。","{text_cn}","8a0035"
"江山书法立体体山水融字","字体","艺术字","风格","纯白背景，大面积留白，一个 {text_cn} 字，苍劲有力的毛笔书法风格，真实笔触质感，立体的山水花草完美结合字体笔划走势完全填满，3d 渲染，印章：江山如此多娇。","{text_cn}","8a0036"
"金碧辉煌标题字","字体","艺术字","艺术字","以黑色为背景，点缀闪烁的星星，用金色立体发光字体呈现文字 {text_cn}，整体风格炫酷且富有科技感，营造出闪耀的视觉效果。","{text_cn}","8a0037"
"金色年华紧凑体金辉连韵","字体","艺术字","艺术字","创意字体设计 Logo：中文 {text_cn} 。线条流畅、舒展且具有艺术感，将字体进行抽象变形，似是而非，相邻两个字上一字的末笔是下一字的首笔，相邻字的笔划可以共享借代。使几个文字成为一个紧凑的整体，字与字之间有相互联系的笔划。高级感，扁平化，黑色高端大气背景。","{text_cn}","8a0038"
"卡通体流心奶油","字体","艺术字","艺术字","""""{text_cn}"""" 五个字以 3d 卡通风格呈现，笔画圆滑，连笔，设计成白色液态流动效果，笔画如融化的奶油般自然滴落，边缘呈现不规则的柔滑质感，仿佛随时会向下滴落。纯黑背景强化对比，突显字体的流动感与立体感，整体画面简洁且富有动态张力，细节丰富，。","{text_cn}","8a0039"
"卡通艺术体圆润甜美","字体","艺术字","艺术字","字体设计 {text_cn}，风格圆润线条流畅，卡通唯美有艺术感，笔画巧妙变形设计，黑色干净的背景。","{text_cn}","8a0040"
"快乐花体童趣多色","字体","艺术字","艺术字","花体字体设计 {text_cn}，采用活泼、圆润的卡通手写字体风格，笔画带有流畅的曲线和俏皮的装饰，加入动漫笔画中的高光线，起笔和收笔有明显的变形，黑底，多色变化，富有童趣。","{text_cn}","8a0041"
"狂欢暑假涂鸦体街头跳跃","字体","艺术字","艺术字","标题字体设计，文字 {text_cn} 极具个性和街头感的涂鸦字体，充满力度与不规则感流动的、跳跃的效果，白色字体，纯黑色背景。","{text_cn}","8a0042"
"乐享生活缠绕体缎带飘逸","字体","艺术字","风格","一组用红色袖带缠绕而成的中文字 {text_cn}，每个字都由缎带巧妙地弯曲和缠绕构成，字体飘逸秀丽，线条丝谱流畅，增强了立体感和视觉冲击力。整体风格简约而现代，光线均匀分布，营造出一种干净、清晰的氛围。文字的排布方式富有设计感，缎带的纹理和光泽在纯色背景的衬托下更加突出。","{text_cn}","8a0043"
"立体体机械狂草","字体","艺术字","风格","粗大的书法狂草 3D 立体机械文字 {text_cn} 二字，竖排，笔画硬朗，大气磅礴，笔划透明般的描边，文字表面干净无暇，oc 渲染，陶瓷质感，靛蓝弧线，闪光，精致的金色机械金属饰品，精致虚拟科技感镶边渐变，简洁的靛蓝瓷质感，金属流体，细腻高光，高冷，纯色背景，极简，玻璃质感，金属质感，氛围感，光感，靛蓝系反光光感，真实。","{text_cn}","8a0044"
"六一相连体彩缀童乐","字体","艺术字","艺术字","矢量插画，标志，黑色背景，白色字，创意字体设计 Logo，流畅且富有艺术感，中文第一行 {text_cn}，中文第二行 { TEXT}，笔画之间合理相连，彩色点缀。设计灵感：将字体进行抽象变形，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}","8a0045"
"龙凤金属浮雕体图腾霓虹","字体","艺术字","材质","工业级超精细金属浮雕，神圣威严，大量留白，3D 立体文字。山海经图腾风格文字，字体结构为狂草变体，笔画内嵌龙鳞图案与兽纹旋形，模拟青铜器铭文质感。{text_cn} 金属的质感，锐化边缘、清晰所有轮廓，霓虹光晕渐变效果，液态金属滴，炫彩粒子堕落景泰蓝，渐变色背景，画面干净。大师作品。","{text_cn}","8a0046"
"玛瑙狂草立体体玛瑙蜡瀑","字体","艺术字","风格","海报狂草毛笔书法字 {text_cn}，竖排飘逸笔触，创意，3D 玛瑙立体字，字面颜色全部采用以玛瑙为主材镶茨，润泽，饱满，光滑，玉质感强，字体上布满滴蜡瀑布。双层立体，玛瑙镶茨。有一个红色小印章 专属。纯黑色背景。","{text_cn}","8a0047"
"每日签到双语体白底流畅","字体","艺术字","中英文","矢量插画，标志，纯白色背景，创意字体设计 Logo，线条流畅且富有艺术感，中文 {text_cn} ，小英文 {text_en}，设计灵感：将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}|{text_en}","8a0048"
"美丽佳人衬线体妖娆律动","字体","艺术字","艺术字","创意字体设计 Logo：黑底白字， {text_cn} 妖娆的字体线条，律动的格调线衬。","{text_cn}","8a0049"
"名字写实体沙滩手迹","字体","艺术字","艺术字","写实摄影，航拍，鸟瞰顶视图，沙滩上巨大显眼手写字 {text_cn} 有凹陷真实效果，笔画手写艺术处理，太阳伞，沙滩椅，椰子树，游泳圈，大海，。","{text_cn}","8a0050"
"茉香茶压花体茶香连笔","字体","艺术字","艺术字","创意字体设计 Logo：中文 {text_cn} 。线条流畅、舒展且具有艺术感，将字体进行抽象变形，似是而非，相邻两个字上一字的末笔是下一字的首笔，相邻字的笔划可以共享借代。使几个文字成为一个紧凑的整体，字与字之间有相互联系的笔划。高级感，扁平化，奇才设计，根据文字含义在纸上压花。深绿色背景。下方中部小字 茉香茶绿色食品。","{text_cn}","8a0051"
"木板搭字艺术体木拼苔生","字体","艺术字","艺术字","木材拼接字型 {text_cn}，橡木纹理，每个笔划独立原木拼接，转折处嵌入黄铜铆钉或细麻绳，木缝间生长青苔与蕨类植物，高饱和度，纯黑色背景。","{text_cn}","8a0052"
"逆袭立体体炫彩金属","字体","艺术字","材质","字体标志 {text_cn}，创意字体设计，线条流畅且富有艺术感，将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。流畅立体字，金属质感，金属里泛着彩色光晕，金属艺术，高级感，黑色背景，。","{text_cn}","8a0053"
"年中放价艺术体灵动俏皮","字体","艺术字","艺术字","创意字体设计 {text_cn}，黑底白字，字体采用活泼、不规则的设计风格，笔画粗细对比明显，有弯曲、扭曲、拉伸等变形效果，呈现出灵动俏皮的视觉感受。","{text_cn}","8a0054"
"念情立体嵌入体果冻国潮","字体","艺术字","风格","浅白色纯色干净背景，3D 国潮风格，由山水瀑布花草水珠嵌入字中组成的蓝紫白绿红果冻立体字 {text_cn} 字，晶莹剔透，大面积留白，3d 渲染，完美构图，符合平面审美，多层次，。","{text_cn}","8a0055"
"努力狂草立体体金墨瓯韵","字体","艺术字","风格","主题为狂草字体 {text_cn} 的艺术字设计，采用立体金属质感与水墨渐变效果结合，深蓝色背景衬托金色字体，文字边缘融入瓯绣花纹细节，3D 立体投影技术呈现悬浮效果，高精度矢量构图确保放大不失真，底部加入流动的瓯江波浪纹理，整体展现传统书法与现代工艺的融合。","{text_cn}","8a0056"
"平安自然书法体云纹天成","字体","艺术字","书法","在一片湛蓝无垠的天空背景下，一朵蓬松洁白的积云巧妙地形成了书法创意字 {text_cn}，其草书飞白的笔画仿佛是大自然亲手书写而成。令人惊叹的创意造型，延长的笔触让字更加抽象充满艺术气息。这幅自然奇观以广角镜头捕捉，展现出宏大的视野同时不失细节之美；特写镜头下，每一道云纹都清晰可见，赋予了文字生命力与立体感。通过精心处理的景深效果和光影变化，整幅画面显得格外生动且富有层次感，达到了 UHD 级别的高质量、高细节视觉享受。这种由自然界自发创造的文字景象，不仅是对观察者眼力的一次挑战，也是对心灵的一次慰藉，让人不禁感叹大自然的鬼斧神工与无限创意。","{text_cn}","8a0057"
"情侣步履标志体极简黑白","字体","艺术字","艺术字","黑底白色，横版排列，标志标准字体设计 {text_cn}，严谨的无衬线，流畅简约，断笔，连笔，设计感强。现代极简，线条粗细统一。","{text_cn}","8a0058"
"人生百味书法体墨韵哲思","字体","艺术字","书法","中式书法风格，画面以白色纸张为背景。其上用浓墨书写着豪放洒脱的黑色毛笔字 {text_cn} 。左下角配有较小的黑色书法文字 人生百味 自己体会 ，以及一个红色方形印章，印章内有白色 福 字，整体营造出富有哲理与文化韵味的氛围。","{text_cn}","8a0059"
"人生艺术体百态相连","字体","艺术字","艺术字","创意字体设计 Logo：中文 {text_cn}。线条流畅、舒展且具有艺术感，将字体进行抽象变形，笔画之间合理相连，设计灵感：将字体进行抽象变形，给人以强烈的视觉冲击。高级感，扁平化，大师作品。高级感，扁平化，黑色高端大气背景。","{text_cn}","8a0060"
"如意创意体烟青吉庆","字体","艺术字","艺术字","字体，标志，中式传统美学设计，创意设计字体：{text_cn}，文字周边有相关元素装饰，极简现代设计感，创意感，文字有设计重塑的改变，烟青色纯色背景。","{text_cn}","8a0061"
"书法创意体动态光效","字体","艺术字","书法","字体 {text_cn} 纵向排列，3D 立体效果，笔画边缘撕裂状闪电纹理，内部深蓝色渐变，核心白色电流脉冲流动，底部深色阴影增强立体，背景深邃黑色雷云，穿插紫色与青色闪电束，部分闪电与字体相连，字体发光照亮云层，右侧主闪电纵向划过。","{text_cn}","8a0062"
"书法体烈焰锋芒","字体","艺术字","书法","字体字效设计，文字 """"{text_cn}"""", 字体采用锐利的、现代感十足的中文书法风格。带有强烈的火焰效果，锋利的角度，颜色从金黄色渐变到橙色，光泽感强，背景为纯黑色。","{text_cn}","8a0063"
"双语标志体童乐律动","字体","艺术字","中英文","矢量插画，标志，黑色背景，创意字体设计 Logo，线条流畅且富有艺术感，中文 {text_cn} 英文 {text_en} 设计灵感：将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}|{text_en}","8a0064"
"双语创意体爱心红缀","字体","艺术字","中英文","创意字体设计 Logo：含有红色爱心插画融入字体，少量红色笔划点缀，标志，黑底白字，字体扭曲变形，线条流畅且富有艺术感，中文 {text_cn}，英文 {text_en}，将字体进行抽象变形，高级感，扁平化，大师作品。","{text_cn}|{text_en}","8a0065"
"双语艺术体律动浪漫","字体","艺术字","中英文","创意字体设计 Logo：线条流畅且富有艺术感，中文{text_cn}，英文{text_en}设计灵感：将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。高级感，扁平化，黑色背景。","{text_cn}|{text_en}","8a0066"
"岁月艺术体时光流转","字体","艺术字","艺术字","矢量插画，标志，黑色背景，创意字体设计 Logo，线条流畅且富有艺术感，中文 {text_cn} 艺术字体设计灵感：将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。高级感，扁平化，大师作品，。","{text_cn}","8a0067"
"踏青可爱体绿边白立体","字体","艺术字","风格","字体设计 {text_cn} 为白色立体字，边缘有绿色渐变描边，字体圆润可爱。白色背景。","{text_cn}","8a0068"
"体瓷金狂草","字体","艺术字","艺术字","粗大的书法狂草 3D 立体文字 {text_cn} 字，笔锋钢劲有力，大气磅礴，笔划透明般的描边，文字表面干净无暇，oc 渲染，陶瓷质感，闪光，精致的金色金属饰品，精致虚拟科技感镶边渐变，简洁的靛绿瓷质感，金属流体，细腻高光，高冷，浅色系背景。","{text_cn}","8a0069"
"体鎏金魔幻","字体","艺术字","艺术字","华丽魔幻风格字体文字内容为 {text_cn}，字体为耀眼的金色，带有金属光泽和高光效果，呈现 3D 立体质感笔画设计富有魔幻风格的装饰性细节背景为纯黑色，8k。","{text_cn}","8a0070"
"天籁之音衬线体复古金辉","字体","艺术字","艺术字","设计一款 {text_cn} 有声剧标题风格的字体，要求字体呈现华丽复古的装饰性效果，笔画硬朗且有自然粗细变化，粗笔画厚重饱满、细笔画精致利落，笔画边缘带有金属质感光泽渐变描边，融入西方古典衬线字体特征，具备歌剧高雅神秘氛围，能传递艺术感与戏剧张力，背景为深色衬托金色字体，突出华丽格调。","{text_cn}","8a0071"
"天籁之音花体绒金洛可可","字体","艺术字","艺术字","天鹅绒烫金风格：{text_cn} 以奢华的天鹅绒质感为基底，字母用细腻的烫金工艺呈现。烫金线条勾勒出优雅的花体字，笔画间饰以精致的洛可可风格卷草纹，线条纤细且流畅，金色光泽在天鹅绒的深邃底色上闪耀，尽显高贵。背景是同色系的浅灰色天鹅绒，微微泛着光泽，营造出低调而极致的优雅氛围。","{text_cn}","8a0072"
"铁锈反差艺术体锈械新芽","字体","艺术字","艺术字","这是一片荒芜的世界，主体是一个锈迹斑斑的机械字 {text_cn}，粗笨巨大的框架仿佛随时倾倒，缝隙萌发一两支柔弱的新芽，颓败寂寥与末日希望形成极大反差。广角镜头全景画幅。","{text_cn}","8a0073"
"童年快乐综艺体克莱因蓝","字体","艺术字","艺术字","综艺风格创意字体、圆润流畅笔画、萌趣装饰元素点缀、活泼俏皮综艺感、字体边缘柔和处理、{text_cn} 主题文字、灵动曲线设计，克莱因蓝色背景，白字。","{text_cn}","8a0074"
"童趣水世界卡通体泡泡蓝调","字体","艺术字","艺术字","""""{text_cn}"""" 使用卡通字体，活泼，有儿童的风格，一排排列，部分笔画可延长。蓝色，3d 渲染风格，圆润泡泡立体字，蓝白渐变。","{text_cn}","8a0075"
"王者归来科技体硬核全息","字体","艺术字","艺术字","硬核科技感 {text_cn} 字体设计，副标 LISHUDESHU 钛银材质结构穿插全息蓝紫光，字形内置能量电路纹路，底部悬浮投影光效，结合发光网格线，锋利边缘多重反射，立体雕刻质感，科幻电影标题视觉，黑色背景。","{text_cn}","8a0076"
"王者写意体古韵圆融","字体","艺术字","艺术字","矢量风格的写意字体标志，{text_cn}，内刚外柔，完美融合成圆形，通过平面几何图形变形组合设计，营造出文化古韵氛围的圆形字体 logo，采用极简化设计，在扁平化的极简纯色黑色背景上，遵循美学三大构成原理。画面干净无平面几何图形，旁边有艺术手写签名 Peng Design 2025。","{text_cn}","8a0077"
"未来共进展观体锐动蓝白","字体","艺术字","艺术字","生成一款具有强烈视觉冲击力的艺术字体，主体文字为‘{text_cn}’，搭配英文‘{text_cn}’。字体采用粗体设计，笔画边缘带有锐利的切割感与速度线效果，营造出蓬勃向前的动感。整体色调为纯净的白色字体，搭配深邃的蓝色背景，形成鲜明对比。添加细腻的光影效果，增强字体的立体感与层次感，展现出现代、简洁且充满力量的设计风格，从各个角度看都能传递出积极向上、携手共进的未来感。","{text_cn}","8a0078"
"文字替代立体青铜体铜锈解构","字体","艺术字","风格","超写实青铜质感立体汉字 {text_cn}，以高精度 3D 模型呈现几何解构主义风格。每个笔划由多层氧化铜板构成，表面布满精细的铜锈纹理 —— 深褐色基底上分布着孔雀石绿的氧化斑点，哑光铜质本体带有金属磨损的高光反射。等轴居中正视图，硬边缘，笔触转折处采用硬边倒角处理，在均匀柔光下显现出细腻的次表面散射效果，暗部嵌有象征电路板的镂空图腾。材质表现强调 PBR 物理渲染特性，包含微磨损刮痕、氧化层渐变和金属应力裂纹，铜绿部分呈现半透明矿物质光泽。顶光塑造出强烈的立体层次，铜质笔划边缘泛起金色辉光，与青绿锈迹形成冷暖对比。采用微距摄影级细节，可清晰辨识铜材结晶颗粒与做旧工艺的腐蚀痕迹，背景运用景深虚化突出主体金属质感。","{text_cn}","8a0079"
"我命由我书法体狂放墨韵","字体","艺术字","书法","书法字 {text_cn}，风格狂野奔放，笔画飘逸，带有枯笔飞白，墨色浓淡对比强烈，字形结构夸张变形呈现张力，纯黑色背景。笔法：逆锋起笔 / 横扫收笔，中锋侧锋交替节奏：快慢交替章法：字间大小悬殊。","{text_cn}","8a0080"
"希望如光艺术体流光科幻","字体","艺术字","艺术字","""""{text_cn}"""" 艺术字设计：设计强调速度感与流动感，字形具有向前倾或向上延伸的动态趋势。运用蓝紫渐变到炽白的科幻光效，模拟能量流动。可加入动态模糊残影、像素化光点或全息衍射纹理等数字时代元素，字体边缘呈现微弱的辉光 / 发光效果。整体充满科技感与活力，寓意希望是驱动未来的明亮光能，oc 渲染，立体光效，纯色彩色背景。","{text_cn}","8a0081"
"夏日可爱体彩缀阳光","字体","艺术字","艺术字","创意字体设计 Logo：黑色背景，字体设计 """"{text_cn}"""", 字体设计，点缀笔划，色彩多种，穿插在字体笔画中，可爱体天量插画，线条流畅且富有艺术感，设计灵感：将字体进行抽象变形，创造出独特的节奏和动感，高级感，扁平化，大师作品.","{text_cn}","8a0082"
"夏日味道创意体黑底流韵","字体","艺术字","艺术字","矢量插画，标志，黑色背景，创意字体设计 Logo，线条流畅且富有艺术感中文 {text_cn} 设计灵感：将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。大师作品。","{text_cn}","8a0083"
